[2026-06-01 15:22:12] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-31
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605310000+TO+202605312359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-6-1 | Uncertainty-Aware Reinforcement Learning for Conversion-Optimized Content Gating
[ACM] 2026-6-1 | Multi-Armed Bandits for Recommendation Strategy Selection in Front Page Personalisation
[ACM] 2026-6-1 | Differentially Private and Fair Algorithmic Hiring for Recruiters
[ACM] 2026-6-1 | Enhancing Diversity in News Recommendations Increases Click-Through Rates: Insights from an Online Experiment and User Study
[ACM] 2026-6-1 | LH-GSTGNN: Lag-Heterogeneity Guided Spatio-temporal Graph Neural Network
[ACM] 2026-6-1 | Personalization Matters: Benchmarking ML, DL and LLMs for Mental Health Forecasting from Smartphone Sensing Data
[ACM] 2026-6-1 | Latent Regularization in Generative Test Input Generation
[ACM] 2026-6-1 | From Technical Debt to Cognitive and Intent Debt
[ACM] 2026-6-1 | Leveraging Participatory Personas for Reflexive Co-design of Personalization in Large Language Models
[ACM] 2026-6-1 | Supporting Children with Developmental Language Disorders through Co-Designed Adaptive Assistive Technology
[ACM] 2026-6-1 | Balancing Guidance and Control: Nudging Users Toward Effective Dashboard Customisation
[ACM] 2026-6-1 | Progress Feedback for Countering Selective Exposure: When Visualization Can Backfire
[ACM] 2026-6-1 | A Case Study of Offline Reinforcement Learning for Paywall Decisioning
[ACM] 2026-6-1 | Personalized Human–Robot Interaction through Ontology-Based Knowledge Graphs and Large Language Models
[ACM] 2026-6-1 | Control Models for In-IDE Code Completion
[ACM] 2026-6-1 | Warnless at the DeepTest 2026 Tool Competition
[ACM] 2026-6-1 | Increasing Editor Trust in News Personalization Systems with Fact-checked Large Language Models
[ACM] 2026-6-1 | Measuring the stability and plasticity of recommender systems
[ACM] 2026-6-1 | Does Tone Matter? Exploring Context-Aware Explanations in Route Recommendations
[ACM] 2026-6-1 | Proceedings of the 1st Workshop on Code Translation, Transformation, and Modernization
[ACM] 2026-6-1 | Exida Test Generator at the DeepTest 2026 Tool Competition
[ACM] 2026-6-1 | Designing Operator-Centred Recommender Systems for Knowledge Retention in Industrial Manufacturing
[ACM] 2026-6-1 | To Explain or Not to Explain? An Empirical Investigation into Users’ Information Needs in News Recommender Systems and Its Impact on User Engagement
[ACM] 2026-6-1 | Interface-Aware Recommender Systems
[ACM] 2026-6-1 | Automated Refactoring of Code Smells in React.js Applications
[ACM] 2026-6-1 | Proceedings of the 7th IEEE/ACM International Workshop on Deep Learning for Testing and Testing for Deep Learning
[ACM] 2026-6-1 | From Modeling and Profiling to Auditing: the Evolving Role of the User in Recommender System Research
[ACM] 2026-6-1 | Multistakeholder Impacts of Profile Portability in a Recommender Ecosystem
[ACM] 2026-6-1 | Proceedings of the 34th ACM Conference on User Modeling, Adaptation and Personalization
[ACM] 2026-6-1 | Behind the Re-Rank: Explaining Fairness in Top-N Recommendations
[ACM] 2026-6-1 | "It's a Bit of Me": Predicting Persuasion from Writing Style and Persuader-Receiver Similarity
[ACM] 2026-6-1 | GeneticPuzzle: a Mobile Psychoeducational Tool to Support Families Affected by 22q11.2 Deletion Syndrome
[ACM] 2026-6-1 | Using Elo to Operationalize Modeling of Aphasia Patients' Word-Recall Practice During Recovery
[ACM] 2026-6-1 | Beyond Centralization: User-Controlled Federated Recommendations in Practice
[ACM] 2026-6-1 | SAGE: A Strategy-Aware Graph-Enhanced Generation Framework For Online Counseling
[ACM] 2026-6-1 | Modelling Preference Heterogeneity for Context-Aware Decision Support During Public Transport Disruptions
[ACM] 2026-6-1 | Investigating the Gap Between Offline Metrics and Perceived Fairness
[ACM] 2026-6-1 | When Personalisation Becomes Exploitation: An Integrated Evaluation Methodology for Personality-Adaptive Relationship Forming AI.
[ACM] 2026-6-1 | LLM4Good: The 2nd Workshop on Sustainable and Trustworthy Large Language Models for Personalization
共写入 157 条记录，保存到 papers/paper2026-05-31.json。
论文获取成功，文件路径: papers/paper2026-05-31.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 1/157 | MigMate: A VS Code Extension for LLM-based Library Migration of Python Projects
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 2/157 | Reproducibility of LLM-based Recommender Systems Research: Worrying Observations from an Initial Analysis
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 3/157 | Evaluating the Role of Context Representations in the Behavioral Fidelity of LLM-based Personas for Food Preferences
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 4/157 | Personalizing Font Size Normalization: Linguistic Background Shapes Which Font Attributes Matter
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 5/157 | GMAP 2026: 5th Workshop on Group Modeling, Adaptation and Personalization
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 6/157 | Leveraging Artist Catalogs for Cold-Start Music Recommendation
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 7/157 | Using Anti-Personas to Model Children: How to Represent User-System Mismatches
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 8/157 | Student Web Search Behaviour: A Comparative Study of AI-Assisted and Traditional Search Styles and Performance
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 9/157 | How Humans and LLMs Differ in Processing Uncertainty in Polarized Discourse
判定相关性时出错： Error code: 401 - {'error': {'message': "team not allowed to access model. This team can only access models=['PaddleOCR-VL-0.9B', 'GLM-4-Flash', 'GLM-CogView3-Flash', 'GLM-Z1-Flash', 'PaddleOCR-VL-1.5', 'GLM-4.5-Flash', 'GLM-4V-Flash', 'Intern-S2-Preview']. Tried to access Qwen3-235B-A22B-Instruct-2507", 'type': 'team_model_access_denied', 'param': 'model', 'code': '401'}}
[NO] 10/157 | Productively Wrong: How Auditing Open Profiles Enhances Interest Awareness and Reflection in Movie Recommenders
